year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode,Winning
2008,VIRGINIA,VA,SOUTHAMPTON,51175,PRESIDENT,JOHN MCCAIN,REPUBLICAN,4583,9067,20191203,TOTAL,REPUBLICAN
2012,VIRGINIA,VA,SOUTHAMPTON,51175,PRESIDENT,MITT ROMNEY,REPUBLICAN,4733,9264,20191203,TOTAL,REPUBLICAN
2016,VIRGINIA,VA,SOUTHAMPTON,51175,PRESIDENT,DONALD TRUMP,REPUBLICAN,5035,8878,20191203,TOTAL,REPUBLICAN
2020,VIRGINIA,VA,SOUTHAMPTON,51175,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,3617,9786,20210622,ELECTION DAY,REPUBLICAN
2000,GEORGIA,GA,SPALDING,13255,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,9271,15391,20191203,TOTAL,REPUBLICAN
2004,GEORGIA,GA,SPALDING,13255,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,13461,21007,20191203,TOTAL,REPUBLICAN
2008,GEORGIA,GA,SPALDING,13255,PRESIDENT,JOHN MCCAIN,REPUBLICAN,14885,25255,20191203,TOTAL,REPUBLICAN
2012,GEORGIA,GA,SPALDING,13255,PRESIDENT,MITT ROMNEY,REPUBLICAN,14911,25088,20191203,TOTAL,REPUBLICAN
2016,GEORGIA,GA,SPALDING,13255,PRESIDENT,DONALD TRUMP,REPUBLICAN,15646,25704,20191203,TOTAL,REPUBLICAN
2020,GEORGIA,GA,SPALDING,13255,PRESIDENT,DONALD J TRUMP,REPUBLICAN,8801,30116,20210622,ADVANCED VOTING,REPUBLICAN
2000,SOUTH CAROLINA,SC,SPARTANBURG,45083,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,52114,83553,20191203,TOTAL,REPUBLICAN
2004,SOUTH CAROLINA,SC,SPARTANBURG,45083,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,62004,96758,20191203,TOTAL,REPUBLICAN
2008,SOUTH CAROLINA,SC,SPARTANBURG,45083,PRESIDENT,JOHN MCCAIN,REPUBLICAN,65042,108328,20191203,TOTAL,REPUBLICAN
2012,SOUTH CAROLINA,SC,SPARTANBURG,45083,PRESIDENT,MITT ROMNEY,REPUBLICAN,66969,109906,20191203,TOTAL,REPUBLICAN
2016,SOUTH CAROLINA,SC,SPARTANBURG,45083,PRESIDENT,DONALD TRUMP,REPUBLICAN,76277,121090,20191203,TOTAL,REPUBLICAN
2020,SOUTH CAROLINA,SC,SPARTANBURG,45083,PRESIDENT,DONALD J TRUMP,REPUBLICAN,60777,148655,20210622,ELECTION DAY,REPUBLICAN
2000,INDIANA,IN,SPENCER,18147,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5096,8987,20191203,TOTAL,REPUBLICAN
2000,KENTUCKY,KY,SPENCER,21215,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3150,4772,20191203,TOTAL,REPUBLICAN
2004,INDIANA,IN,SPENCER,18147,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5934,9924,20191203,TOTAL,REPUBLICAN
2004,KENTUCKY,KY,SPENCER,21215,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4816,6822,20191203,TOTAL,REPUBLICAN
2008,INDIANA,IN,SPENCER,18147,PRESIDENT,BARACK OBAMA,DEMOCRAT,5039,10181,20191203,TOTAL,DEMOCRAT
2008,KENTUCKY,KY,SPENCER,21215,PRESIDENT,JOHN MCCAIN,REPUBLICAN,5378,8049,20191203,TOTAL,REPUBLICAN
2012,INDIANA,IN,SPENCER,18147,PRESIDENT,MITT ROMNEY,REPUBLICAN,5515,9728,20191203,TOTAL,REPUBLICAN
2012,KENTUCKY,KY,SPENCER,21215,PRESIDENT,MITT ROMNEY,REPUBLICAN,5726,8431,20191203,TOTAL,REPUBLICAN
2016,INDIANA,IN,SPENCER,18147,PRESIDENT,DONALD TRUMP,REPUBLICAN,6572,9979,20191203,TOTAL,REPUBLICAN
2016,KENTUCKY,KY,SPENCER,21215,PRESIDENT,DONALD TRUMP,REPUBLICAN,7196,9515,20191203,TOTAL,REPUBLICAN
2020,INDIANA,IN,SPENCER,18147,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7357,10769,20210622,TOTAL,REPUBLICAN
2020,KENTUCKY,KY,SPENCER,21215,PRESIDENT,DONALD J TRUMP,REPUBLICAN,8737,11429,20210622,ELECTION DAY,REPUBLICAN
2000,SOUTH DAKOTA,SD,SPINK,46115,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1957,3284,20191203,TOTAL,REPUBLICAN
2004,SOUTH DAKOTA,SD,SPINK,46115,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2259,3774,20191203,TOTAL,REPUBLICAN
2008,SOUTH DAKOTA,SD,SPINK,46115,PRESIDENT,JOHN MCCAIN,REPUBLICAN,1660,3239,20191203,TOTAL,REPUBLICAN
2012,SOUTH DAKOTA,SD,SPINK,46115,PRESIDENT,MITT ROMNEY,REPUBLICAN,1670,3041,20191203,TOTAL,REPUBLICAN
2016,SOUTH DAKOTA,SD,SPINK,46115,PRESIDENT,DONALD TRUMP,REPUBLICAN,1854,2951,20191203,TOTAL,REPUBLICAN
2020,SOUTH DAKOTA,SD,SPINK,46115,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,2104,3163,20210622,TOTAL,REPUBLICAN
2000,WASHINGTON,WA,SPOKANE,53063,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,89299,172089,20191203,TOTAL,REPUBLICAN
2004,WASHINGTON,WA,SPOKANE,53063,PRESIDENT,GEORGE W. BUSH,REPUBLICAN,111606,202587,20191203,TOTAL,REPUBLICAN
2008,WASHINGTON,WA,SPOKANE,53063,PRESIDENT,JOHN MCCAIN,REPUBLICAN,108314,219511,20191203,TOTAL,REPUBLICAN
2012,WASHINGTON,WA,SPOKANE,53063,PRESIDENT,MITT ROMNEY,REPUBLICAN,115285,223830,20191203,TOTAL,REPUBLICAN
2016,WASHINGTON,WA,SPOKANE,53063,PRESIDENT,DONALD TRUMP,REPUBLICAN,113435,227246,20191203,TOTAL,REPUBLICAN
2020,WASHINGTON,WA,SPOKANE,53063,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,148576,295430,20210622,TOTAL,REPUBLICAN
